TRI_FACILITY_ID,REGION,FAC_LONGITUDE,FAC_LATITUDE
4524WPVSTN8479B,5,,
95134KSHCM305WT,9,1215728,372440
53115HBBRDRTE3B,5,883535,423636
44830RFLTXCOURT,5,832512,410908
47978HMTTR1132N,5,870913,405647
10550MCHLN115SM,2,735103,405436
19014ZNTHP200CO,3,750015,395215
2603WWLLMS12681,3,,
36037RHMMNHARDS,4,863730,315040
75069QDRNT200IN,6,963636,331041
10509LMTHR391RT,2,733800,412400
60638GLSSC6401W,5,874752,414626
48180CLRCK26265,5,831648,421236
4560WSRMYN2154N,5,,
45373KMBRL30MAR,5,841441,400343
08312PCKCK838ND,2,750600,394000
93433CLFRN338SO,9,1203737,350707
30824KNGSLRTE3B,4,823120,303140
06604SCHWR278FA,1,731135,411045
08884KMBRL85MAI,2,742500,402500
74145RPRNT4250S,6,955238,360549
06605HBBLLSTATE,1,731251,410957
42003CHMCL300ST,4,883618,370404
30213MPRGL220FA,4,843549,333249
30180TMTVL905RO,4,845540,334450
84404KMBRL2010N,8,1120032,411736
54729CRYRS9251S,5,912304,445700
36401KNDNL74WIL,4,0,0
08873WMZNS39BEL,2,743228,403207
14132KNTXN6125L,2,,
88201CRTVP16EAR,6,1043040,331906
91324MRKRX19901,9,1183358,341356
45334RSTRM419WP,5,840203,402625
46013DLCPR2902E,5,853932,393350
23230CRTVS3408W,3,772830,373420
19720WLMNGCENTE,3,753515,393944
46614HRPRD23146,5,861512,414029
46218ZMMRP1450E,5,860807,394730
46320HTLMN6340I,5,,
46325HTLMN5009C,5,873016,413630
90638WSTRN14500,9,1180530,335249
3361WBSTBL569N5,4,,
37303MYFLD813EA,4,843500,352650
57102ZPFDM305E6,8,964400,433400
7052WNTRPR12TRU,6,,
7650WRYNLD3PEGA,6,,
92501DVLDN930NO,9,1172144,340039
0635WMRGNT85MSU,1,,
37311DRCLLMOUSE,4,0,0
48817KRCRP503SS,5,850500,425800
46534DBRTV1805W,5,863849,411746
37321LZBYTWALNU,4,850006,353117
13221LPRLL7600M,2,761219,430823
18840JXXRY150BR,3,763147,415948
21030FYPNL1BEAV,3,764530,392230
46327MNSTR5HUEH,5,,
07063THCNT1355W,2,742709,403553
37357BRDGSHWY55,4,855242,353755
11377CRTNS61123,2,735407,404520
19706KZCHM1385S,3,753845,393530
30080ZMCHM1828S,4,,
80125ZMKRN7011T,8,50050,393025
2960WVTRRS6IDAH,4,,
17331PCKNG435GI,3,794813,394911
