seed algoritmo best_solution best_fitness evaluations time_ms
34 RandomSearch "296 277 4720 1116 3887 3225 3473 1267 3861 4094" 12.2 1000 480
34 Greedy "101 279 265 72 77 288 103 295 296 159" 18.8 1 8
34 LSall "100 275 792 1032 72 3427 3818 4512 260 283" 15.4 1000 667
34 BLsmall "104 2369 260 3390 864 3249 45 2698 3952 3728" 11.8 38 45
35 RandomSearch "2586 2654 282 458 2855 466 262 2850 4309 2710" 12.1 1000 489
35 Greedy "101 279 265 72 77 288 103 295 296 159" 18.8 1 9
35 LSall "159 277 1278 1264 1032 262 1295 283 1294 322" 16.3 1000 866
35 BLsmall "289 4597 2828 4041 1639 2048 4457 3970 1294 2407" 12 23 20
36 RandomSearch "5094 2420 1277 264 754 4952 713 3812 5083 40" 12.1 1000 575
36 Greedy "101 279 265 72 77 288 103 295 296 159" 18.8 1 9
36 LSall "4034 2545 524 301 3823 1284 265 1941 1263 100" 15.8 1000 739
36 BLsmall "2862 3891 3217 4948 1399 1607 2979 1868 1536 1645" 10.8 21 9
37 RandomSearch "270 4452 1263 3332 628 3208 4147 752 466 2162" 12.1 1000 517
37 Greedy "101 279 265 72 77 288 103 295 296 159" 18.8 1 12
37 LSall "1276 262 274 4893 77 4022 269 100 647 266" 16.4 1000 783
37 BLsmall "2933 1748 2738 508 255 3387 347 231 1193 410" 11.3 23 17
38 RandomSearch "1840 67 45 2784 3074 2749 101 3674 1278 3430" 12.3 1000 497
38 Greedy "101 279 265 72 77 288 103 295 296 159" 18.8 1 9
38 LSall "139 3746 269 4034 674 4025 1273 4021 97 4032" 13.7 1000 554
38 BLsmall "3135 3395 500 523 674 40 4109 2476 3003 5213" 11.4 30 30
