seed algoritmo best_solution best_fitness evaluations time_ms
42 RandomSearch "1508 12717 5852 3804 20054 15368 10 18750 11537 4634" 11.5 1000 741
42 Greedy "11537 3002 2156 3125 10652 21392 12861 19231 17403 2985" 13.4 1000 45
42 LSall "12933 21899 17609 18871 1183 4 17479 17556 19180 13585" 10.8 1000 286
42 BLsmall "12933 21899 17297 18871 20497 4 16877 17556 19180 13585" 10.8 28 112
43 RandomSearch "13394 4807 18453 18057 8003 9551 7097 14916 3377 1351" 10.8 1000 1757
43 Greedy "11537 3002 2156 3125 10652 21392 12861 19231 17403 2985" 13.4 1000 67
43 LSall "21896 6311 12303 12821 21307 5423 5706 16753 14552 1092" 10.8 1000 250
43 BLsmall "16610 3777 12303 12821 21307 5423 13042 16753 14552 18165" 10.8 39 90
44 RandomSearch "16913 5680 12536 22203 18314 9685 11187 251 21401 10154" 10.8 1000 1477
44 Greedy "11537 3002 2156 3125 10652 21392 12861 19231 17403 2985" 13.4 1000 31
44 LSall "4019 19183 0 6284 21522 10652 651 14097 22157 7249" 11.4 1000 320
44 BLsmall "10585 10505 2956 6284 12792 21618 651 3225 22157 11840" 10.8 38 103
45 RandomSearch "625 18758 4154 15525 20182 11537 16153 21649 21413 2687" 11.3 1000 1385
45 Greedy "11537 3002 2156 3125 10652 21392 12861 19231 17403 2985" 13.4 1000 32
45 LSall "20743 7381 22033 14236 18355 16278 5892 6083 917 3131" 10.8 1000 254
45 BLsmall "20743 7381 22033 318 9638 9077 11050 9368 6792 3131" 10.8 33 125
46 RandomSearch "14752 16289 21226 5441 12419 3231 8010 7970 3263 14018" 11.3 1000 1533
46 Greedy "11537 3002 2156 3125 10652 21392 12861 19231 17403 2985" 13.4 1000 56
46 LSall "3809 9919 10265 753 2912 3251 14403 17920 6149 4530" 10.8 1000 311
46 BLsmall "1343 7611 18802 753 2912 3251 14403 15209 13127 4530" 10.8 43 127
