seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 ES 1 "1071 1301 2398 3668 284 101 4019 269 301 277" 15.2 687 1383
43 BMB 1 "4207 1341 577 301 3550 275 262 4153 658 5140" 13.7 463 536
43 ILS 1 "3740 2638 2171 267 3434 262 628 77 294 3540" 14.2 426 543
43 COMB 1 "5030 1269 77 270 2299 484 1870 3346 1410 4411" 12.8 172 257
43 GRASP_NOBL 1 "2631 285 265 1940 1296 296 271 290 101 282" 16.6 10 403
43 GRASP_SIBL 1 "1948 265 1586 294 101 306 293 1271 275 1298" 16.6 313 794
44 ES 2 "792 1272 292 100 1265 2732 2059 1886 297 4009" 14.3 498 830
44 BMB 2 "848 54 223 2639 3810 985 452 450 158 285" 12.5 284 291
44 ILS 2 "3658 4089 793 2360 1284 5147 277 300 4002 1283" 13.4 339 394
44 COMB 2 "792 263 265 3315 1835 1784 4798 3610 3122 2113" 12.8 185 297
44 GRASP_NOBL 2 "2981 273 1274 267 101 4017 1263 285 266 4040" 16.4 10 367
44 GRASP_SIBL 2 "2608 273 2597 4025 260 101 279 262 1280 302" 16.9 315 745
45 ES 3 "1407 2117 4027 285 4200 792 628 4026 875 1067" 12.9 337 476
45 BMB 3 "4849 3667 3084 1382 971 128 286 4560 593 2636" 11.8 265 194
45 ILS 3 "100 1282 4693 3398 3814 101 878 412 4016 4358" 13.7 272 281
45 COMB 3 "3366 1312 4048 981 296 2041 3988 159 447 2534" 12 224 296
45 GRASP_NOBL 3 "3926 300 101 1266 295 276 289 288 278 3808" 17.8 10 482
45 GRASP_SIBL 3 "3135 101 1264 1932 296 77 103 4027 279 289" 18.1 318 945
46 ES 4 "280 538 2051 4039 2172 3649 284 264 1265 1293" 13.6 387 576
46 BMB 4 "181 484 2358 4842 2965 1010 103 1493 4622 2711" 11.9 295 295
46 ILS 4 "1271 2065 273 1722 299 1538 256 876 693 2145" 13.4 358 388
46 COMB 4 "1634 985 2314 4039 1421 1070 3682 4513 5047 355" 11.8 143 196
46 GRASP_NOBL 4 "1206 101 159 2771 290 1274 103 77 289 265" 16.5 10 431
46 GRASP_SIBL 4 "2092 1264 77 300 296 101 276 282 297 301" 18.3 291 946
47 ES 5 "34 649 1280 1267 104 4023 3689 818 2506 1298" 12.8 311 490
47 BMB 5 "3092 1577 1032 4245 4824 4996 359 3551 276 3514" 12 274 209
47 ILS 5 "3801 1492 302 4026 15 1277 322 4018 1941 345" 13.6 381 324
47 COMB 5 "4162 683 1280 578 951 1322 4278 1037 3470 301" 12.1 171 257
47 GRASP_NOBL 5 "3411 265 101 284 264 296 4019 288 260 72" 18.4 10 390
47 GRASP_SIBL 5 "2758 261 291 4013 295 1279 269 274 285 279" 17.8 285 742
