seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 ES 1 "7290 6585 8297 6270 2181 5599 2766 270 2341 7762" 11.4 120 128
43 BMB 1 "1032 7231 8785 7322 1035 2317 7980 4949 538 8680" 11.3 233 122
43 ILS 1 "5799 8034 3927 5973 1175 1536 2821 273 841 6414" 11.4 251 130
43 COMB 1 "2202 6891 5124 2971 429 3457 5008 5612 221 4677" 11.5 112 121
43 GRASP_NOBL 1 "4234 8345 570 4591 6557 5516 2202 6835 6890 4677" 13.1 10 483
43 GRASP_SIBL 1 "2395 6890 6557 5516 6835 8817 570 7246 8345 6862" 12.9 248 713
44 ES 2 "6795 7642 8470 5509 8822 4196 4912 5792 4537 3687" 11.3 110 194
44 BMB 2 "2423 2797 5409 2720 7902 4773 7442 8300 2482 2307" 10.8 244 243
44 ILS 2 "2423 2797 425 2720 7902 4773 7199 8489 1897 2307" 10.8 231 198
44 COMB 2 "2423 2797 5409 2720 7902 4773 1263 8300 6998 2307" 10.8 114 203
44 GRASP_NOBL 2 "1401 2280 6557 570 6890 5516 6835 8345 296 2288" 13 10 496
44 GRASP_SIBL 2 "5956 570 5516 6557 8817 6890 2288 1820 2202 6835" 13.4 238 712
45 ES 3 "4624 6830 3265 3356 453 5024 7372 6058 951 991" 10.8 113 197
45 BMB 3 "5197 6830 762 3356 453 5024 7372 6058 951 4926" 10.8 221 177
45 ILS 3 "5197 1873 6553 3356 453 5024 7372 6058 6410 3168" 10.8 247 237
45 COMB 3 "4624 6830 3265 3356 453 5024 7372 6058 951 991" 10.8 120 210
45 GRASP_NOBL 3 "8272 6557 8817 6890 5516 570 6835 2288 8324 3932" 12.9 10 501
45 GRASP_SIBL 3 "3292 6557 570 5516 6835 7406 8817 8444 8391 6890" 13.4 273 742
46 ES 4 "7820 7243 2679 7564 7854 4596 2459 8728 3753 2725" 10.8 107 190
46 BMB 4 "7346 7243 2679 721 7854 4596 3234 2706 4428 2725" 10.8 226 234
46 ILS 4 "8028 6097 2679 4472 7854 6890 7193 6406 3753 5866" 11.4 240 264
46 COMB 4 "8597 361 946 8713 5248 4596 6768 1289 3521 2725" 11.3 124 270
46 GRASP_NOBL 4 "4888 570 6557 8198 6835 8817 1928 5516 6890 2288" 13.1 10 849
46 GRASP_SIBL 4 "8595 8817 5516 6557 6890 8674 5973 4677 570 2288" 13.4 237 964
47 ES 5 "2280 1674 6785 4481 2659 3502 1146 5024 4228 1066" 11.3 122 241
47 BMB 5 "998 1561 3158 1847 4759 4900 2598 8429 6650 2149" 10.8 202 166
47 ILS 5 "998 1561 3158 1847 1096 7303 2598 8429 6650 2149" 10.8 216 182
47 COMB 5 "998 1561 3158 1847 1096 4900 3885 8429 6650 2149" 10.8 117 228
47 GRASP_NOBL 5 "6464 570 2879 5516 6557 6835 6890 7406 8391 8817" 13 10 633
47 GRASP_SIBL 5 "4600 5516 570 6557 4677 6890 2288 5089 8817 236" 13.1 234 1007
